timestamp,mode,voltage_v,current_a,apparent_w,true_w,wh_interval,wh_cumulative,kwh_cumulative,cost_rs,alert_active,alert_messages
2026-06-14T10:26:03,normal,232.9,0.8357,194.63,194.63,0.054064,0.0541,5.4e-05,0.0004,False,
2026-06-14T10:26:04,normal,228.44,0.8231,188.04,188.04,0.052231,0.1063,0.000106,0.0009,False,
2026-06-14T10:26:05,normal,230.6,0.8527,196.63,196.63,0.054619,0.1609,0.000161,0.0013,False,
2026-06-14T10:26:06,normal,232.14,0.7804,181.16,181.16,0.050322,0.2112,0.000211,0.0017,False,
2026-06-14T10:26:07,normal,234.39,0.8435,197.7,197.7,0.054919,0.2662,0.000266,0.0021,False,
2026-06-14T10:26:08,normal,230.54,0.8374,193.07,193.07,0.053625,0.3198,0.00032,0.0026,False,
2026-06-14T10:26:09,normal,229.87,0.8598,197.63,197.63,0.0549,0.3747,0.000375,0.003,False,
2026-06-14T10:26:10,normal,226.88,0.8668,196.65,196.65,0.054628,0.4293,0.000429,0.0034,False,
2026-06-14T10:26:11,normal,231.72,0.8496,196.86,196.86,0.054686,0.484,0.000484,0.0039,False,
2026-06-14T10:26:12,normal,226.95,0.7985,181.21,181.21,0.050339,0.5343,0.000534,0.0043,False,
2026-06-14T10:26:13,normal,234.34,0.7722,180.96,180.96,0.050267,0.5846,0.000585,0.0047,False,
2026-06-14T10:26:14,normal,233.84,0.8247,192.84,192.84,0.053569,0.6382,0.000638,0.0051,False,
2026-06-14T10:26:15,normal,233.74,0.8485,198.32,198.32,0.055092,0.6933,0.000693,0.0055,False,
2026-06-14T10:26:16,normal,226.07,0.8134,183.89,183.89,0.051081,0.7443,0.000744,0.006,False,
2026-06-14T10:26:17,normal,232.73,1.0351,240.91,240.91,0.066917,0.8113,0.000811,0.0065,True,SPIKE: Transient load spike detected
2026-06-14T10:26:18,normal,230.5,0.8018,184.8,184.8,0.051336,0.8626,0.000863,0.0069,False,
2026-06-14T10:26:19,normal,227.69,0.8233,187.47,187.47,0.052072,0.9147,0.000915,0.0073,False,
2026-06-14T10:26:20,normal,234.51,0.7767,182.16,182.16,0.050594,0.9653,0.000965,0.0077,False,
2026-06-14T10:26:21,normal,228.17,0.8722,199.01,199.01,0.055281,1.0205,0.001021,0.0082,False,
2026-06-14T10:26:22,normal,233.82,0.8525,199.33,199.33,0.055369,1.0759,0.001076,0.0086,False,
2026-06-14T10:26:23,normal,234.51,0.8245,193.35,193.35,0.053708,1.1296,0.00113,0.009,False,
2026-06-14T10:26:24,normal,234.15,0.806,188.73,188.73,0.052422,1.182,0.001182,0.0095,False,
2026-06-14T10:26:25,normal,234.88,0.8116,190.64,190.64,0.052953,1.235,0.001235,0.0099,False,
2026-06-14T10:26:26,normal,227.75,0.834,189.94,189.94,0.052761,1.2878,0.001288,0.0103,False,
2026-06-14T10:26:27,normal,228.69,0.7985,182.62,182.62,0.050725,1.3385,0.001338,0.0107,False,
2026-06-14T10:26:28,normal,233.94,0.847,198.14,198.14,0.055042,1.3935,0.001394,0.0111,False,
2026-06-14T10:26:29,normal,226.06,0.8684,196.32,196.32,0.054531,1.4481,0.001448,0.0116,False,
2026-06-14T10:26:30,normal,233.7,0.8022,187.47,187.47,0.052075,1.5001,0.0015,0.012,False,
2026-06-14T10:26:31,normal,228.2,0.829,189.19,189.19,0.05255,1.5527,0.001553,0.0124,False,
2026-06-14T10:26:32,normal,233.55,0.8425,196.76,196.76,0.054658,1.6073,0.001607,0.0129,False,
2026-06-14T10:27:01,high,229.81,18.7909,4318.4,4318.4,1.199539,1.1995,0.0012,0.0096,True,OVERLOAD: 4318W > 2000W limit; WARNING: Approaching limit (4318W); SPIKE: Transient load spike detected
2026-06-14T10:27:02,high,230.21,14.8964,3429.31,3429.31,0.952583,2.1521,0.002152,0.0172,True,OVERLOAD: 3429W > 2000W limit; WARNING: Approaching limit (3429W)
2026-06-14T10:27:03,high,226.06,15.0368,3399.19,3399.19,0.944228,3.0963,0.003096,0.0248,True,OVERLOAD: 3399W > 2000W limit; WARNING: Approaching limit (3399W)
2026-06-14T10:27:04,high,234.79,14.0554,3300.06,3300.06,0.916686,4.013,0.004013,0.0321,True,OVERLOAD: 3300W > 2000W limit; WARNING: Approaching limit (3300W)
2026-06-14T10:27:05,high,227.42,14.988,3408.65,3408.65,0.946825,4.9599,0.00496,0.0397,True,OVERLOAD: 3409W > 2000W limit; WARNING: Approaching limit (3409W)
2026-06-14T10:27:06,high,228.49,14.2004,3244.64,3244.64,0.901292,5.8612,0.005861,0.0469,True,OVERLOAD: 3245W > 2000W limit; WARNING: Approaching limit (3245W)
2026-06-14T10:27:07,high,234.65,14.9628,3511.03,3511.03,0.975283,6.8364,0.006836,0.0547,True,OVERLOAD: 3511W > 2000W limit; WARNING: Approaching limit (3511W)
2026-06-14T10:27:08,high,231.54,14.0911,3262.67,3262.67,0.906292,7.7427,0.007743,0.0619,True,OVERLOAD: 3263W > 2000W limit; WARNING: Approaching limit (3263W)
2026-06-14T10:27:09,high,233.45,14.3492,3349.84,3349.84,0.930506,8.6732,0.008673,0.0694,True,OVERLOAD: 3350W > 2000W limit; WARNING: Approaching limit (3350W)
2026-06-14T10:27:10,high,234.28,14.6303,3427.59,3427.59,0.952108,9.6253,0.009625,0.077,True,OVERLOAD: 3428W > 2000W limit; WARNING: Approaching limit (3428W)
2026-06-14T10:27:11,high,225.64,15.7116,3545.11,3545.11,0.984769,10.6101,0.01061,0.0849,True,OVERLOAD: 3545W > 2000W limit; WARNING: Approaching limit (3545W)
2026-06-14T10:27:12,high,231.45,14.5128,3359.06,3359.06,0.933053,11.5432,0.011543,0.0923,True,OVERLOAD: 3359W > 2000W limit; WARNING: Approaching limit (3359W)
2026-06-14T10:27:13,high,228.29,14.6794,3351.1,3351.1,0.930878,12.474,0.012474,0.0998,True,OVERLOAD: 3351W > 2000W limit; WARNING: Approaching limit (3351W)
2026-06-14T10:27:14,high,233.72,13.7891,3222.72,3222.72,0.895219,13.3693,0.013369,0.107,True,OVERLOAD: 3223W > 2000W limit; WARNING: Approaching limit (3223W)
2026-06-14T10:27:15,high,229.06,14.4409,3307.85,3307.85,0.918842,14.2881,0.014288,0.1143,True,OVERLOAD: 3308W > 2000W limit; WARNING: Approaching limit (3308W)
2026-06-14T10:27:16,high,228.23,14.6798,3350.36,3350.36,0.930658,15.2188,0.015219,0.1218,True,OVERLOAD: 3350W > 2000W limit; WARNING: Approaching limit (3350W)
2026-06-14T10:27:17,high,230.64,14.0442,3239.12,3239.12,0.899764,16.1185,0.016119,0.1289,True,OVERLOAD: 3239W > 2000W limit; WARNING: Approaching limit (3239W)
2026-06-14T10:27:18,high,228.67,14.309,3272.01,3272.01,0.9089,17.0274,0.017027,0.1362,True,OVERLOAD: 3272W > 2000W limit; WARNING: Approaching limit (3272W)
2026-06-14T10:27:19,high,225.69,15.3416,3462.37,3462.37,0.961792,17.9892,0.017989,0.1439,True,OVERLOAD: 3462W > 2000W limit; WARNING: Approaching limit (3462W)
2026-06-14T10:27:20,high,230.22,15.3107,3524.82,3524.82,0.979119,18.9683,0.018968,0.1517,True,OVERLOAD: 3525W > 2000W limit; WARNING: Approaching limit (3525W)
2026-06-14T10:27:21,high,228.24,14.7958,3376.99,3376.99,0.938053,19.9064,0.019906,0.1593,True,OVERLOAD: 3377W > 2000W limit; WARNING: Approaching limit (3377W)
2026-06-14T10:27:22,high,230.02,18.5119,4258.08,4258.08,1.182808,21.0892,0.021089,0.1687,True,OVERLOAD: 4258W > 2000W limit; WARNING: Approaching limit (4258W); SPIKE: Transient load spike detected
2026-06-14T10:27:23,high,231.99,14.175,3288.47,3288.47,0.913461,22.0027,0.022003,0.176,True,OVERLOAD: 3288W > 2000W limit; WARNING: Approaching limit (3288W)
2026-06-14T10:27:24,high,227.5,14.2466,3241.13,3241.13,0.900306,22.903,0.022903,0.1832,True,OVERLOAD: 3241W > 2000W limit; WARNING: Approaching limit (3241W)
2026-06-14T10:27:25,high,226.44,14.6974,3328.1,3328.1,0.924467,23.8274,0.023827,0.1906,True,OVERLOAD: 3328W > 2000W limit; WARNING: Approaching limit (3328W)
2026-06-14T10:27:26,high,227.55,14.4442,3286.7,3286.7,0.912994,24.7404,0.02474,0.1979,True,OVERLOAD: 3287W > 2000W limit; WARNING: Approaching limit (3287W)
2026-06-14T10:27:27,high,229.14,14.9689,3430.03,3430.03,0.952769,25.6932,0.025693,0.2055,True,OVERLOAD: 3430W > 2000W limit; WARNING: Approaching limit (3430W)
2026-06-14T10:27:28,high,226.18,15.3342,3468.33,3468.33,0.963414,26.6566,0.026657,0.2133,True,OVERLOAD: 3468W > 2000W limit; WARNING: Approaching limit (3468W)
2026-06-14T10:27:29,high,232.76,14.6481,3409.44,3409.44,0.947081,27.6037,0.027604,0.2208,True,OVERLOAD: 3409W > 2000W limit; WARNING: Approaching limit (3409W)
2026-06-14T10:27:30,high,227.74,15.2352,3469.68,3469.68,0.963794,28.5675,0.028567,0.2285,True,OVERLOAD: 3470W > 2000W limit; WARNING: Approaching limit (3470W)
2026-06-14T10:27:41,overload,231.54,20.8542,4828.57,4828.57,1.341272,1.3413,0.001341,0.0107,True,OVERLOAD: 4829W > 2000W limit; WARNING: Approaching limit (4829W)
